"","x"
"1","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:End%20as%20a%20World+au:Wallace%2c%20F.%20L.%20%28Floyd%20L.%29&qt=advanced&dblist=638"
"2","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Vaninka%0d%0aCelebrated%20Crimes+au:Dumas%2c%20Alexandre&qt=advanced&dblist=638"
"3","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Uarda%20%3a%20a%20Romance%20of%20Ancient%20Egypt%20%e2%80%94%20Volume%2007+au:Ebers%2c%20Georg&qt=advanced&dblist=638"
"4","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:The%20Peacemaker+au:Coppel%2c%20Alfred&qt=advanced&dblist=638"
"5","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Twenty%20Years%20After+au:Dumas%2c%20Alexandre&qt=advanced&dblist=638"
"6","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:No%20Great%20Magic+au:Leiber%2c%20Fritz&qt=advanced&dblist=638"
"7","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Triplanetary+au:Smith%2c%20E.%20E.%20%28Edward%20Elmer%29&qt=advanced&dblist=638"
"8","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Under%20the%20Red%20Robe+au:Weyman%2c%20Stanley%20John&qt=advanced&dblist=638"
"9","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Traveling%20Companion%20Wanted+au:Wilson%2c%20Richard&qt=advanced&dblist=638"
"10","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:The%20Bride%20of%20the%20Nile%20%e2%80%94%20Volume%2002+au:Ebers%2c%20Georg&qt=advanced&dblist=638"
"11","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Carmilla+au:Le%20Fanu%2c%20Joseph%20Sheridan&qt=advanced&dblist=638"
"12","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Lord%20Tedric+au:Smith%2c%20E.%20E.%20%28Edward%20Elmer%29&qt=advanced&dblist=638"
"13","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:The%20People%20of%20the%20Black%20Circle+au:Howard%2c%20Robert%20E.%20%28Robert%20Ervin%29&qt=advanced&dblist=638"
"14","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:The%20Spy%20in%20the%20Elevator+au:Westlake%2c%20Donald%20E.&qt=advanced&dblist=638"
"15","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:A%20Connecticut%20Yankee%20in%20King%20Arthur%27s%20Court+au:Twain%2c%20Mark&qt=advanced&dblist=638"
"16","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:The%20Lost%20Continent+au:Burroughs%2c%20Edgar%20Rice&qt=advanced&dblist=638"
"17","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Instinct+au:Smith%2c%20George%20O.%20%28George%20Oliver%29&qt=advanced&dblist=638"
"18","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Space%20Viking+au:Piper%2c%20H.%20Beam&qt=advanced&dblist=638"
"19","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:The%20Prince%20and%20the%20Pauper%2c%20Part%206.+au:Twain%2c%20Mark&qt=advanced&dblist=638"
"20","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Chronicles%20of%20Martin%20Hewitt+au:Morrison%2c%20Arthur&qt=advanced&dblist=638"
"21","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Piper%20in%20the%20Woods+au:Dick%2c%20Philip%20K.&qt=advanced&dblist=638"
"22","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:The%20Immortals+au:Duncan%2c%20David&qt=advanced&dblist=638"
"23","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Wind+au:Fontenay%2c%20Charles%20L.&qt=advanced&dblist=638"
"24","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Barbara%20Blomberg%20%e2%80%94%20Volume%2003+au:Ebers%2c%20Georg&qt=advanced&dblist=638"
"25","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Dead%20Men%27s%20Money+au:Fletcher%2c%20J.%20S.%20%28Joseph%20Smith%29&qt=advanced&dblist=638"
"26","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:The%20Invader+au:Coppel%2c%20Alfred&qt=advanced&dblist=638"
"27","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:When%20the%20Sleepers%20Woke+au:Zagat%2c%20Arthur%20Leo&qt=advanced&dblist=638"
"28","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:The%20Count%27s%20Millions+au:Gaboriau%2c%20Emile&qt=advanced&dblist=638"
"29","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:The%20Eyes%20Have%20It+au:Garrett%2c%20Randall&qt=advanced&dblist=638"
"30","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:The%20Angel%20of%20Terror+au:Wallace%2c%20Edgar&qt=advanced&dblist=638"
"31","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Scrimshaw+au:Leinster%2c%20Murray&qt=advanced&dblist=638"
"32","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Thompson%27s%20Cat+au:Williams%2c%20Robert%20Moore&qt=advanced&dblist=638"
"33","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:The%20Big%20Trip%20Up%20Yonder+au:Vonnegut%2c%20Kurt&qt=advanced&dblist=638"
"34","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:The%20Lerouge%20Case+au:Gaboriau%2c%20Emile&qt=advanced&dblist=638"
"35","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Picture%20Bride+au:Samachson%2c%20Joseph&qt=advanced&dblist=638"
"36","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Cum%20Grano%20Salis+au:Garrett%2c%20Randall&qt=advanced&dblist=638"
"37","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Nice%20Girl%20With%205%20Husbands+au:Leiber%2c%20Fritz&qt=advanced&dblist=638"
"38","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:The%20Legion%20of%20Lazarus+au:Hamilton%2c%20Edmond&qt=advanced&dblist=638"
"39","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:The%20Monster%20Men+au:Burroughs%2c%20Edgar%20Rice&qt=advanced&dblist=638"
"40","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:The%20Hour%20of%20the%20Dragon+au:Howard%2c%20Robert%20E.%20%28Robert%20Ervin%29&qt=advanced&dblist=638"
"41","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:The%20Rag%20and%20Bone%20Men+au:Budrys%2c%20Algis&qt=advanced&dblist=638"
"42","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:That%20Affair%20at%20Elizabeth+au:Stevenson%2c%20Burton%20Egbert&qt=advanced&dblist=638"
"43","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:The%20Last%20of%20the%20Barons%20%e2%80%94%20Volume%2007+au:Lytton%2c%20Edward%20Bulwer%20Lytton%2c%20Baron&qt=advanced&dblist=638"
"44","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Resurrection+au:Shea%2c%20Robert&qt=advanced&dblist=638"
"45","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:King%20Olaf%27s%20Kinsman%0d%0aA%20Story%20of%20the%20Last%20Saxon%20Struggle%20against%20the%20Danes%20in%20the%20Days%20of%20Ironside%20and%20Cnut+au:Whistler%2c%20Charles%20W.%20%28Charles%20Watts%29&qt=advanced&dblist=638"
"46","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Toy%20Shop+au:Harrison%2c%20Harry&qt=advanced&dblist=638"
"47","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:The%20Great%20Gray%20Plague+au:Jones%2c%20Raymond%20F.&qt=advanced&dblist=638"
"48","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:The%20Last%20of%20the%20Barons%20%e2%80%94%20Volume%2002+au:Lytton%2c%20Edward%20Bulwer%20Lytton%2c%20Baron&qt=advanced&dblist=638"
"49","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:A%20Connecticut%20Yankee%20in%20King%20Arthur%27s%20Court%2c%20Part%204.+au:Twain%2c%20Mark&qt=advanced&dblist=638"
"50","https://www.worldcat.org/search?qt=worldcat_org_bks&q=ti:Warrior%20Race+au:Sheckley%2c%20Robert&qt=advanced&dblist=638"
